Measure Mode: wall_time
Thread ID: 16046480
Fiber ID: 30270920
Total: 0.091710
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        4   <Class::NewRelic::Agent::EventAggregator>#enabled_key
  0.00      0.000     0.000     0.000     0.000        1   NewRelic::VersionNumber#initialize
  0.00      0.000     0.000     0.000     0.000        1   NewRelic::Agent::Configuration::EnvironmentSource#collect_new_relic_environment_variable_keys
  0.00      0.000     0.000     0.000     0.000        8   Symbol#to_proc
  0.00      0.000     0.000     0.000     0.000        3   Mutex#initialize
  0.00      0.000     0.000     0.000     0.000        1   NewRelic::Agent::Configuration::DefaultSource#default_values
  0.00      0.000     0.000     0.000     0.000        1   NewRelic::Agent::Configuration::EnvironmentSource#set_config_file
  0.00      0.000     0.000     0.000     0.000        1   <Class::Time>#now
  0.00      0.000     0.000     0.000     0.000        1   <Class::Time>#at_without_coercion
  0.00      0.000     0.000     0.000     0.000        3   String#to_i
  0.00      0.000     0.000     0.000     0.000        1   Time#initialize
  0.00      0.000     0.000     0.000     0.000        1   NewRelic::Agent::TracedMethodStack#initialize
  0.00      0.000     0.000     0.000     0.000        8   Hash#merge!
  0.00      0.000     0.000     0.000     0.000        8   Hash#values
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::EventAggregator>#buffer_class
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#thread_profiler_enabled
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#agent_enabled
  0.00      0.000     0.000     0.000     0.000        1   String#split
  0.00      0.000     0.000     0.000     0.000        1   Comparable#<
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#current
  0.00      0.000     0.000     0.000     0.000        1   Array#first
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#framework
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#dispatcher
  0.00      0.000     0.000     0.000     0.000        1   <Class::NewRelic::Agent::Configuration::DefaultSource>#config_path
  0.00      0.000     0.000     0.000     0.000        1   Thread#[]=
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?
  0.00      0.000     0.000     0.000     0.000        1   Module#public
